Episode 195/400 | Steps 986 | Raw 0.0 | Shaped 98.60 | Eps 0.3646
Episode 196/400 | Steps 967 | Raw 0.0 | Shaped 96.70 | Eps 0.3609
Episode 197/400 | Steps 690 | Raw 0.0 | Shaped 69.00 | Eps 0.3572
Episode 198/400 | Steps 744 | Raw 0.0 | Shaped 74.40 | Eps 0.3546
Episode 199/400 | Steps 1052 | Raw 0.0 | Shaped 105.20 | Eps 0.3518
Episode 200/400 | Steps 1258 | Raw 0.0 | Shaped 125.80 | Eps 0.3478
Eval ep 200: mean 1079.3 | [834, 1564, 840]
Episode 201/400 | Steps 495 | Raw 0.0 | Shaped 49.50 | Eps 0.3430
Episode 202/400 | Steps 739 | Raw 0.0 | Shaped 73.90 | Eps 0.3411
Episode 203/400 | Steps 744 | Raw 0.0 | Shaped 74.40 | Eps 0.3383
Episode 204/400 | Steps 861 | Raw 0.0 | Shaped 86.10 | Eps 0.3355
Episode 205/400 | Steps 778 | Raw 0.0 | Shaped 77.80 | Eps 0.3322
Episode 206/400 | Steps 459 | Raw 0.0 | Shaped 45.90 | Eps 0.3292
Episode 207/400 | Steps 778 | Raw 0.0 | Shaped 77.80 | Eps 0.3275
Episode 208/400 | Steps 1071 | Raw 0.0 | Shaped 107.10 | Eps 0.3245
Episode 209/400 | Steps 480 | Raw 0.0 | Shaped 48.00 | Eps 0.3205
Episode 210/400 | Steps 1040 | Raw 0.0 | Shaped 104.00 | Eps 0.3186
Eval ep 210: mean 1445.3 | [853, 1546, 1937]
Episode 211/400 | Steps 1430 | Raw 0.0 | Shaped 143.00 | Eps 0.3147
Episode 212/400 | Steps 832 | Raw 0.0 | Shaped 83.20 | Eps 0.3093
Episode 213/400 | Steps 678 | Raw 0.0 | Shaped 67.80 | Eps 0.3061
Episode 214/400 | Steps 780 | Raw 0.0 | Shaped 78.00 | Eps 0.3035
Episode 215/400 | Steps 683 | Raw 0.0 | Shaped 68.30 | Eps 0.3005
Episode 216/400 | Steps 990 | Raw 0.0 | Shaped 99.00 | Eps 0.2980
Episode 217/400 | Steps 782 | Raw 0.0 | Shaped 78.20 | Eps 0.2942
Episode 218/400 | Steps 970 | Raw 0.0 | Shaped 97.00 | Eps 0.2912
Episode 219/400 | Steps 759 | Raw 0.0 | Shaped 75.90 | Eps 0.2875
Episode 220/400 | Steps 723 | Raw 0.0 | Shaped 72.30 | Eps 0.2847
Eval ep 220: mean 1271.3 | [1550, 1357, 907]
Episode 221/400 | Steps 644 | Raw 0.0 | Shaped 64.40 | Eps 0.2819
Episode 222/400 | Steps 1000 | Raw 0.0 | Shaped 100.00 | Eps 0.2795
Episode 223/400 | Steps 1067 | Raw 0.0 | Shaped 106.70 | Eps 0.2757
Episode 224/400 | Steps 1090 | Raw 0.0 | Shaped 109.00 | Eps 0.2716
Episode 225/400 | Steps 700 | Raw 0.0 | Shaped 70.00 | Eps 0.2675
Episode 226/400 | Steps 486 | Raw 0.0 | Shaped 48.60 | Eps 0.2648
Episode 227/400 | Steps 748 | Raw 0.0 | Shaped 74.80 | Eps 0.2630
Episode 228/400 | Steps 1288 | Raw 0.0 | Shaped 128.80 | Eps 0.2601
Episode 229/400 | Steps 488 | Raw 0.0 | Shaped 48.80 | Eps 0.2552
Episode 230/400 | Steps 899 | Raw 0.0 | Shaped 89.90 | Eps 0.2534
Eval ep 230: mean 1106.0 | [921, 831, 1566]
Episode 231/400 | Steps 723 | Raw 0.0 | Shaped 72.30 | Eps 0.2499
Episode 232/400 | Steps 715 | Raw 0.0 | Shaped 71.50 | Eps 0.2472
Episode 233/400 | Steps 1023 | Raw 0.0 | Shaped 102.30 | Eps 0.2445
Episode 234/400 | Steps 1317 | Raw 0.0 | Shaped 131.70 | Eps 0.2406
Episode 235/400 | Steps 568 | Raw 0.0 | Shaped 56.80 | Eps 0.2356
Episode 236/400 | Steps 1420 | Raw 0.0 | Shaped 142.00 | Eps 0.2334
